               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.031523,             0.00659,          0.00060764,             0.85804,             0.84367,             0.85951,             0.40192,            0.040414,           0.0058308,           0.0030912,           0.0038434,           0.0038434,           0.0038434
                  95,            0.031167,           0.0067585,          0.00063382,             0.84305,             0.85103,             0.85858,             0.41204,            0.039681,           0.0058502,           0.0029786,           0.0037562,           0.0037562,           0.0037562
                  96,            0.031461,           0.0067163,          0.00056611,             0.83389,             0.85977,             0.85965,             0.41652,            0.040274,            0.005723,           0.0031031,           0.0036697,           0.0036697,           0.0036697
                  97,            0.031222,           0.0064866,          0.00062251,              0.8438,             0.86564,             0.86333,             0.41526,            0.039009,           0.0056236,           0.0029983,            0.003584,            0.003584,            0.003584
                  98,            0.030514,           0.0066002,           0.0004688,             0.85013,             0.87116,             0.86791,             0.41857,            0.039163,           0.0056783,           0.0029566,           0.0034991,           0.0034991,           0.0034991
                  99,            0.030744,           0.0066703,          0.00060544,             0.86317,             0.85071,              0.8799,             0.41955,            0.039489,           0.0055517,           0.0029454,           0.0034152,           0.0034152,           0.0034152
                 100,             0.03036,           0.0066649,          0.00057947,             0.84675,             0.87456,             0.85378,             0.41222,            0.039446,           0.0056201,           0.0029763,           0.0033321,           0.0033321,           0.0033321
                 101,            0.030191,           0.0065612,          0.00046629,             0.85852,             0.83673,             0.86199,             0.41954,            0.039773,           0.0057588,           0.0029337,             0.00325,             0.00325,             0.00325
                 102,            0.029629,           0.0065587,          0.00042192,             0.85296,             0.84014,             0.85361,             0.40935,            0.040086,           0.0058168,           0.0029245,           0.0031689,           0.0031689,           0.0031689
                 103,            0.029292,           0.0063704,          0.00046358,             0.86645,             0.83269,             0.86079,             0.41408,            0.039876,           0.0058222,           0.0029871,           0.0030888,           0.0030888,           0.0030888
                 104,            0.029807,            0.006511,          0.00051485,             0.84619,              0.8505,             0.86614,             0.42171,            0.039542,           0.0056796,           0.0029671,           0.0030097,           0.0030097,           0.0030097
                 105,            0.030156,            0.006502,          0.00053621,             0.84639,             0.85385,             0.85557,             0.41012,            0.039701,           0.0057293,           0.0030034,           0.0029318,           0.0029318,           0.0029318
                 106,             0.03014,           0.0065186,          0.00058585,             0.86793,             0.82909,             0.84825,             0.40956,             0.03968,           0.0057382,           0.0030783,            0.002855,            0.002855,            0.002855
                 107,            0.029428,           0.0063599,          0.00046052,             0.86703,               0.835,             0.84659,             0.41448,            0.039701,           0.0057325,           0.0030856,           0.0027793,           0.0027793,           0.0027793
                 108,            0.029375,           0.0064185,          0.00052427,             0.87897,             0.82798,             0.85668,             0.41628,            0.039867,            0.005802,           0.0030044,           0.0027048,           0.0027048,           0.0027048
                 109,            0.029123,           0.0064603,          0.00051578,             0.84413,             0.86019,             0.85649,             0.41885,            0.039446,           0.0057818,           0.0031186,           0.0026316,           0.0026316,           0.0026316
                 110,            0.029019,           0.0063046,          0.00036113,             0.86078,             0.84772,             0.85289,             0.40849,            0.039819,           0.0058009,           0.0030511,           0.0025596,           0.0025596,           0.0025596
                 111,            0.028905,           0.0063194,          0.00035036,             0.86779,             0.83533,             0.84911,             0.40936,            0.039997,           0.0057309,           0.0031066,           0.0024889,           0.0024889,           0.0024889
                 112,            0.028895,           0.0062506,          0.00038553,              0.8842,              0.8271,             0.84813,              0.4134,            0.039819,           0.0057939,            0.003091,           0.0024195,           0.0024195,           0.0024195
                 113,             0.02858,           0.0061825,          0.00044376,               0.868,             0.83836,             0.85468,             0.41392,            0.039759,           0.0058655,           0.0030371,           0.0023515,           0.0023515,           0.0023515
                 114,            0.028647,           0.0064088,          0.00062422,             0.84796,             0.85186,              0.8553,             0.41307,            0.039761,           0.0057779,           0.0031273,           0.0022849,           0.0022849,           0.0022849
                 115,            0.028756,           0.0063758,          0.00060152,             0.87529,             0.82895,             0.84838,             0.40751,            0.039797,            0.005877,           0.0030958,           0.0022196,           0.0022196,           0.0022196
                 116,            0.028141,            0.006304,          0.00058651,             0.87379,             0.83253,             0.85448,             0.41092,            0.040132,           0.0057885,           0.0030459,           0.0021558,           0.0021558,           0.0021558
                 117,            0.028177,           0.0064674,          0.00049711,              0.8681,             0.83758,             0.84833,             0.40642,            0.040373,            0.005795,           0.0029936,           0.0020935,           0.0020935,           0.0020935
                 118,            0.027895,           0.0063079,          0.00042036,             0.87089,             0.83082,             0.84348,             0.41029,            0.040155,           0.0059198,           0.0030287,           0.0020327,           0.0020327,           0.0020327
                 119,             0.02765,            0.006347,          0.00037991,             0.84759,             0.85793,             0.85413,             0.41326,            0.039937,           0.0059606,           0.0031011,           0.0019734,           0.0019734,           0.0019734
                 120,            0.027689,           0.0061827,          0.00042036,             0.86164,             0.83298,             0.84787,             0.40632,            0.039846,           0.0058808,           0.0030392,           0.0019156,           0.0019156,           0.0019156
                 121,            0.028421,           0.0062464,          0.00046883,             0.85982,             0.84134,             0.85417,             0.41875,            0.039608,           0.0058378,           0.0030128,           0.0018594,           0.0018594,           0.0018594
                 122,            0.027353,           0.0060678,          0.00031984,             0.85302,             0.84804,             0.85256,             0.40568,             0.04022,            0.005846,           0.0030502,           0.0018048,           0.0018048,           0.0018048
                 123,            0.027456,            0.006404,          0.00038366,             0.85239,             0.85856,              0.8591,             0.41252,             0.03977,           0.0058155,           0.0030877,           0.0017519,           0.0017519,           0.0017519
                 124,            0.026893,           0.0062074,           0.0004731,             0.85855,              0.8386,              0.8547,             0.40945,            0.039835,            0.005956,            0.003063,           0.0017005,           0.0017005,           0.0017005
                 125,            0.026895,           0.0061661,          0.00035592,             0.85648,             0.84706,             0.86073,             0.41057,            0.039939,           0.0059097,           0.0030584,           0.0016509,           0.0016509,           0.0016509
                 126,            0.027231,           0.0063277,          0.00034843,             0.85829,             0.84484,             0.85786,             0.41351,            0.039951,           0.0059409,           0.0031551,           0.0016029,           0.0016029,           0.0016029
                 127,            0.026849,           0.0061821,          0.00038519,             0.85174,             0.85547,             0.85704,             0.41464,            0.040168,           0.0059229,            0.003094,           0.0015566,           0.0015566,           0.0015566
                 128,            0.026819,           0.0062434,          0.00040263,              0.8419,             0.85914,              0.8487,             0.41213,            0.039912,           0.0058944,           0.0030936,           0.0015121,           0.0015121,           0.0015121
                 129,            0.026794,           0.0060722,           0.0004285,             0.85477,              0.8539,             0.85139,             0.40656,            0.040207,           0.0059601,           0.0031153,           0.0014693,           0.0014693,           0.0014693
                 130,            0.026585,           0.0059288,          0.00032175,             0.87756,             0.84586,              0.8553,             0.40673,            0.039976,           0.0059009,           0.0030886,           0.0014283,           0.0014283,           0.0014283
                 131,             0.02649,           0.0060178,          0.00035929,              0.8699,             0.84471,             0.85663,             0.41032,            0.040022,           0.0058693,           0.0031555,            0.001389,            0.001389,            0.001389
                 132,            0.026088,           0.0059928,          0.00034131,             0.86045,             0.85225,             0.84688,             0.40675,            0.040291,           0.0060166,           0.0031464,           0.0013516,           0.0013516,           0.0013516
                 133,            0.026167,           0.0062009,          0.00043245,             0.86022,             0.82944,             0.84135,             0.40896,            0.040462,           0.0060295,           0.0031739,            0.001316,            0.001316,            0.001316
                 134,            0.026135,           0.0060932,          0.00029769,             0.85786,             0.82739,             0.83963,             0.40033,             0.04053,           0.0060437,            0.003258,           0.0012822,           0.0012822,           0.0012822
                 135,            0.025952,           0.0059006,          0.00031639,             0.87215,             0.81956,             0.84152,             0.41043,            0.040265,           0.0059545,           0.0032163,           0.0012503,           0.0012503,           0.0012503
                 136,             0.02559,           0.0059902,          0.00027589,             0.83735,             0.85775,              0.8504,             0.41077,            0.040256,           0.0059726,           0.0032119,           0.0012202,           0.0012202,           0.0012202
                 137,            0.025455,           0.0062474,          0.00038553,             0.84403,             0.84985,             0.85323,             0.41139,            0.040287,           0.0059576,           0.0031847,           0.0011921,           0.0011921,           0.0011921
